event_time,device,latency_ms,packet_loss_pct,throughput_mbps
2026-09-05 08:00:00,ROUTER-04,51.64,0.59,441.27
2026-09-05 08:00:30,ROUTER-05,60.89,0.27,506.56
2026-09-05 08:01:00,ROUTER-03,57.22,0.37,536.58
2026-09-05 08:01:30,ROUTER-05,53.36,0.84,616.47
2026-09-05 08:02:00,ROUTER-05,38.14,0.53,556.36
2026-09-05 08:02:30,ROUTER-02,290.25,7.39,114.1
2026-09-05 08:03:00,ROUTER-03,78.23,0.78,506.71
2026-09-05 08:03:30,ROUTER-03,70.18,0.3,612.84
2026-09-05 08:04:00,ROUTER-03,73.9,1.06,532.78
2026-09-05 08:04:30,ROUTER-05,42.33,0.82,431.11
2026-09-05 08:05:00,ROUTER-04,35.16,0.37,612.27
2026-09-05 08:05:30,ROUTER-03,48.11,0.88,555.83
2026-09-05 08:06:00,ROUTER-05,50.84,0.52,464.56
2026-09-05 08:06:30,ROUTER-02,66.41,0.76,461.64
2026-09-05 08:07:00,ROUTER-04,24.61,0.65,523.73
2026-09-05 08:07:30,ROUTER-02,72.94,0.25,537.05
2026-09-05 08:08:00,ROUTER-04,47.63,0.31,515.78
2026-09-05 08:08:30,ROUTER-05,43.6,0.81,524.9
2026-09-05 08:09:00,ROUTER-01,34.82,0.4,636.0
2026-09-05 08:09:30,ROUTER-04,25.18,0.38,585.72
2026-09-05 08:10:00,ROUTER-02,62.35,0.21,515.25
2026-09-05 08:10:30,ROUTER-05,51.1,0.63,575.3
2026-09-05 08:11:00,ROUTER-04,30.65,1.12,417.4
2026-09-05 08:11:30,ROUTER-01,30.57,0.18,531.83
2026-09-05 08:12:00,ROUTER-01,44.96,0.51,644.74
2026-09-05 08:12:30,ROUTER-03,75.04,0.92,482.56
2026-09-05 08:13:00,ROUTER-03,46.11,0.48,432.19
2026-09-05 08:13:30,ROUTER-02,27.45,0.64,447.83
2026-09-05 08:14:00,ROUTER-04,46.31,0.18,412.83
2026-09-05 08:14:30,ROUTER-04,45.91,0.63,437.22
2026-09-05 08:15:00,ROUTER-03,9.55,0.44,470.36
2026-09-05 08:15:30,ROUTER-04,49.19,0.8,387.55
2026-09-05 08:16:00,ROUTER-04,46.54,0.86,501.25
2026-09-05 08:16:30,ROUTER-01,60.44,1.28,572.18
2026-09-05 08:17:00,ROUTER-03,77.73,0.67,427.38
2026-09-05 08:17:30,ROUTER-05,66.9,0.6,621.54
2026-09-05 08:18:00,ROUTER-03,391.84,16.56,93.68
2026-09-05 08:18:30,ROUTER-05,33.4,0.39,582.45
2026-09-05 08:19:00,ROUTER-01,88.6,0.6,447.37
2026-09-05 08:19:30,ROUTER-02,50.89,0.41,568.36
2026-09-05 08:20:00,ROUTER-04,50.21,0.55,412.65
2026-09-05 08:20:30,ROUTER-01,49.64,0.9,571.22
2026-09-05 08:21:00,ROUTER-04,52.97,0.2,513.75
2026-09-05 08:21:30,ROUTER-02,47.83,0.84,544.26
2026-09-05 08:22:00,ROUTER-02,41.4,0.9,405.95
